"Feature","Description"
"MEDICAID_CHRONIC_SCORE_SQ_X_LANG_OTHER","'Squared number of AHRQ CCI chronic conditions' X 'Primary language is not English, Spanish, or Portuguese'"
"MEDICAID_CHRONIC_SCORE_SQ_X_MEDICAID_N_IDS","'Squared number of AHRQ CCI chronic conditions' X 'Number of unique Medicaid IDs'"
"MEDICAID_CHRONIC_SCORE_SQ_X_MEDICAID_PREGNANT","'Squared number of AHRQ CCI chronic conditions' X 'Medicaid eligibility contains 'pregnant''"
"MEDICAID_CHRONIC_SCORE_SQ_X_MEDICAID_POSTPARTUM","'Squared number of AHRQ CCI chronic conditions' X 'Medicaid eligibility contains 'postpartum''"
"MEDICAID_CHRONIC_SCORE_SQ_X_MEDICAID_BLIND","'Squared number of AHRQ CCI chronic conditions' X 'Medicaid eligibility contains 'blind''"
"MEDICAID_CHRONIC_SCORE_SQ_X_MEDICAID_DISABLED","'Squared number of AHRQ CCI chronic conditions' X 'Medicaid eligibility contains 'disabled''"
"MEDICAID_CHRONIC_SCORE_SQ_X_MEDICAID_ALIEN","'Squared number of AHRQ CCI chronic conditions' X 'Medicaid eligibility contains 'alien''"
"MEDICAID_CHRONIC_SCORE_SQ_X_MEDICAID_CHILD","'Squared number of AHRQ CCI chronic conditions' X 'Medicaid eligibility contains 'child''"
"MEDICAID_CHRONIC_SCORE_SQ_X_MEDICAID_MED_NEEDY","'Squared number of AHRQ CCI chronic conditions' X 'Medicaid eligibility as medically needy'"
"MEDICAID_CHRONIC_SCORE_SQ_X_MEDICAID_MANAGED_CARE","'Squared number of AHRQ CCI chronic conditions' X 'Enrolled in Medicaid managed care'"
"MEDICAID_CHRONIC_SCORE_SQ_X_MEDICAID_PREM_PAYMENT","'Squared number of AHRQ CCI chronic conditions' X 'Enrolled in Medicaid premium payment plan'"
"MEDICAID_CHRONIC_SCORE_SQ_X_MEDICAID_PAYER_CMAP","'Squared number of AHRQ CCI chronic conditions' X 'Enrolled in RI Community Medication Assistance Program'"
"MEDICAID_CHRONIC_SCORE_SQ_X_MEDICAID_PAYER_DOC","'Squared number of AHRQ CCI chronic conditions' X 'Medicaid payer code is Department of Corrections'"
"MEDICAID_CHRONIC_SCORE_SQ_X_MEDICAID_PAYER_AIDS","'Squared number of AHRQ CCI chronic conditions' X 'Medicaid payer code is Ryan White AIDS Drug Assistance Program'"
"MEDICAID_CHRONIC_SCORE_SQ_X_MEDICAID_PAYER_ORS","'Squared number of AHRQ CCI chronic conditions' X 'Medicaid payer code is ORS'"
"MEDICAID_CHRONIC_SCORE_SQ_X_MEDICAID_PAYER_RIPAE","'Squared number of AHRQ CCI chronic conditions' X 'Enrolled in RI Pharmaceutical Assistance to the Elderly'"
"MEDICAID_CHRONIC_SCORE_SQ_X_DHS_HH_BIRTH","'Squared number of AHRQ CCI chronic conditions' X 'New birth in the DHS household'"
"MEDICAID_CHRONIC_SCORE_SQ_X_GEOCODED","'Squared number of AHRQ CCI chronic conditions' X 'Has a geocoded home address'"
"MEDICAID_CHRONIC_SCORE_SQ_X_BLKGRP_MEDIANINCOME","'Squared number of AHRQ CCI chronic conditions' X 'Block group's median annual household income (2015 dollars)'"
"MEDICAID_CHRONIC_SCORE_SQ_X_BLKGRP_BELOWFPL","'Squared number of AHRQ CCI chronic conditions' X 'Share of block group below poverty line'"
"MEDICAID_CHRONIC_SCORE_SQ_X_AGE_1","'Squared number of AHRQ CCI chronic conditions' X 'Age is 18-23'"
"MEDICAID_CHRONIC_SCORE_SQ_X_AGE_2","'Squared number of AHRQ CCI chronic conditions' X 'Age is 24-29'"
"MEDICAID_CHRONIC_SCORE_SQ_X_AGE_3","'Squared number of AHRQ CCI chronic conditions' X 'Age is 30-39'"
"MEDICAID_CHRONIC_SCORE_SQ_X_AGE_4","'Squared number of AHRQ CCI chronic conditions' X 'Age is 40-54'"
"MEDICAID_CHRONIC_SCORE_SQ_X_AGE_5","'Squared number of AHRQ CCI chronic conditions' X 'Age is 55-64'"
"MEDICAID_CHRONIC_SCORE_SQ_X_AGE_6","'Squared number of AHRQ CCI chronic conditions' X 'Age is 65+'"
"MEDICAID_CHRONIC_SCORE_SQ_X_BMI_UNDER","'Squared number of AHRQ CCI chronic conditions' X 'Body mass index is underweight'"
"MEDICAID_CHRONIC_SCORE_SQ_X_BMI_OVER","'Squared number of AHRQ CCI chronic conditions' X 'Body mass index is overweight'"
"MEDICAID_CHRONIC_SCORE_SQ_X_BMI_OBESE","'Squared number of AHRQ CCI chronic conditions' X 'Body mass index is obese'"
"MEDICAID_CHRONIC_SCORE_SQ_X_BMI_MISSING","'Squared number of AHRQ CCI chronic conditions' X 'Body mass index is missing'"
"MEDICAID_CHRONIC_SCORE_SQ_X_MARRIED","'Squared number of AHRQ CCI chronic conditions' X 'Married'"
"MEDICAID_CHRONIC_SCORE_SQ_X_MARRIED_MISSING","'Squared number of AHRQ CCI chronic conditions' X 'Marital status is missing'"
"MEDICAID_CHRONIC_SCORE_SQ_X_RACE_BLACK","'Squared number of AHRQ CCI chronic conditions' X 'Race is African American'"
"MEDICAID_CHRONIC_SCORE_SQ_X_RACE_HISPANIC","'Squared number of AHRQ CCI chronic conditions' X 'Ethnicity is Hispanic'"
"MEDICAID_CHRONIC_SCORE_SQ_X_RACE_OTHER","'Squared number of AHRQ CCI chronic conditions' X 'Race is Asian, Native American, or other'"
"MEDICAID_CHRONIC_SCORE_SQ_X_RACE_MISSING","'Squared number of AHRQ CCI chronic conditions' X 'Race is missing'"
"MEDICAID_CHRONIC_SCORE_SQ_X_SNAP_PAYMENTS","'Squared number of AHRQ CCI chronic conditions' X 'Average monthly SNAP payments'"
"MEDICAID_CHRONIC_SCORE_SQ_X_TANF_PAYMENTS","'Squared number of AHRQ CCI chronic conditions' X 'Average monthly TANF payments'"
"MEDICAID_CHRONIC_SCORE_SQ_X_TDI_PAYMENTS","'Squared number of AHRQ CCI chronic conditions' X 'Average monthly TDI payments'"
"MEDICAID_CHRONIC_SCORE_SQ_X_UI_PAYMENTS","'Squared number of AHRQ CCI chronic conditions' X 'Average monthly UI payments'"
"MEDICAID_CHRONIC_SCORE_SQ_X_SNAP","'Squared number of AHRQ CCI chronic conditions' X 'Received SNAP'"
"MEDICAID_CHRONIC_SCORE_SQ_X_TANF","'Squared number of AHRQ CCI chronic conditions' X 'Received TANF'"
"MEDICAID_CHRONIC_SCORE_SQ_X_TDI","'Squared number of AHRQ CCI chronic conditions' X 'Received TDI'"
"MEDICAID_CHRONIC_SCORE_SQ_X_UI","'Squared number of AHRQ CCI chronic conditions' X 'Received UI'"
"MEDICAID_PROCEDURES_SQ_X_RI_UNEMPLOYMENT","'Squared number of distinct procedures' X 'Average Rhode Island unemployment rate'"
"MEDICAID_PROCEDURES_SQ_X_NAICS_UNEMPLOYMENT","'Squared number of distinct procedures' X 'National annual unemployment rate for worker's industry'"
"MEDICAID_PROCEDURES_SQ_X_UI_EXHAUSTION","'Squared number of distinct procedures' X 'Exhausted UI benefits'"
"MEDICAID_PROCEDURES_SQ_X_WAGES","'Squared number of distinct procedures' X 'Wages in previous quarter'"
"MEDICAID_PROCEDURES_SQ_X_EMPLOYERS","'Squared number of distinct procedures' X 'Number of employers in previous quarter'"
"MEDICAID_PROCEDURES_SQ_X_HAS_WAGES","'Squared number of distinct procedures' X 'Has Rhode Island wages in previous quarter'"
"MEDICAID_PROCEDURES_SQ_X_DOC_COMMITED","'Squared number of distinct procedures' X 'Committed to a corrections facility'"
"MEDICAID_PROCEDURES_SQ_X_DOC_RELEASED","'Squared number of distinct procedures' X 'Released from a corrections facility'"
"MEDICAID_PROCEDURES_SQ_X_DOC_CHARGED","'Squared number of distinct procedures' X 'Charged with a crime'"
"MEDICAID_PROCEDURES_SQ_X_MEDICAID_INST_PAY","'Squared number of distinct procedures' X 'Average monthly medical payments to institutions'"
"MEDICAID_PROCEDURES_SQ_X_MEDICAID_PROF_PAY","'Squared number of distinct procedures' X 'Average monthly medical payments to professionals'"
"MEDICAID_PROCEDURES_SQ_X_MEDICAID_NURS_PAY","'Squared number of distinct procedures' X 'Average monthly medical payments to nursing homes'"
"MEDICAID_PROCEDURES_SQ_X_MEDICAID_INST_BILL","'Squared number of distinct procedures' X 'Average monthly medical bills from institutions'"
"MEDICAID_PROCEDURES_SQ_X_MEDICAID_PROF_BILL","'Squared number of distinct procedures' X 'Average monthly medical bills from professionals'"
"MEDICAID_PROCEDURES_SQ_X_MEDICAID_NURS_BILL","'Squared number of distinct procedures' X 'Average monthly medical bills from nursing homes'"
"MEDICAID_PROCEDURES_SQ_X_MEDICAID_INST_VISITS","'Squared number of distinct procedures' X 'Average monthly medical visits to institutions'"
"MEDICAID_PROCEDURES_SQ_X_MEDICAID_PROF_VISITS","'Squared number of distinct procedures' X 'Average monthly medical visits to professionals'"
"MEDICAID_PROCEDURES_SQ_X_MEDICAID_NURS_VISITS","'Squared number of distinct procedures' X 'Average monthly medical visits to nursing homes'"
"MEDICAID_PROCEDURES_SQ_X_MEDICAID_ED_PAY","'Squared number of distinct procedures' X 'Average monthly ED payments'"
"MEDICAID_PROCEDURES_SQ_X_MEDICAID_ED_PC_PAY","'Squared number of distinct procedures' X 'Average monthly PC-treatable ED payments'"
"MEDICAID_PROCEDURES_SQ_X_MEDICAID_ED_BILL","'Squared number of distinct procedures' X 'Average monthly ED bills'"
"MEDICAID_PROCEDURES_SQ_X_MEDICAID_ED_PC_BILL","'Squared number of distinct procedures' X 'Average monthly PC-treatable ED bills'"
"MEDICAID_PROCEDURES_SQ_X_MEDICAID_ED_VISITS","'Squared number of distinct procedures' X 'Average monthly ED visits'"
"MEDICAID_PROCEDURES_SQ_X_MEDICAID_ED_PC_VISITS","'Squared number of distinct procedures' X 'Average monthly PC-tretable ED visits'"
"MEDICAID_PROCEDURES_SQ_X_MEDICAID_RX_COST","'Squared number of distinct procedures' X 'Average monthly pharmcy costs'"
"MEDICAID_PROCEDURES_SQ_X_MEDICAID_RX_DRUGS","'Squared number of distinct procedures' X 'Average monthly number of prescription drugs'"
"MEDICAID_PROCEDURES_SQ_X_SEX_M","'Squared number of distinct procedures' X 'Sex is male'"
"MEDICAID_PROCEDURES_SQ_X_LANG_SPANISH","'Squared number of distinct procedures' X 'Primary language is Spanish'"
"MEDICAID_PROCEDURES_SQ_X_LANG_PORTU","'Squared number of distinct procedures' X 'Primary language is Portuguese'"
"MEDICAID_PROCEDURES_SQ_X_LANG_OTHER","'Squared number of distinct procedures' X 'Primary language is not English, Spanish, or Portuguese'"
"MEDICAID_PROCEDURES_SQ_X_MEDICAID_N_IDS","'Squared number of distinct procedures' X 'Number of unique Medicaid IDs'"
"MEDICAID_PROCEDURES_SQ_X_MEDICAID_PREGNANT","'Squared number of distinct procedures' X 'Medicaid eligibility contains 'pregnant''"
"MEDICAID_PROCEDURES_SQ_X_MEDICAID_POSTPARTUM","'Squared number of distinct procedures' X 'Medicaid eligibility contains 'postpartum''"
"MEDICAID_PROCEDURES_SQ_X_MEDICAID_BLIND","'Squared number of distinct procedures' X 'Medicaid eligibility contains 'blind''"
"MEDICAID_PROCEDURES_SQ_X_MEDICAID_DISABLED","'Squared number of distinct procedures' X 'Medicaid eligibility contains 'disabled''"
"MEDICAID_PROCEDURES_SQ_X_MEDICAID_ALIEN","'Squared number of distinct procedures' X 'Medicaid eligibility contains 'alien''"
"MEDICAID_PROCEDURES_SQ_X_MEDICAID_CHILD","'Squared number of distinct procedures' X 'Medicaid eligibility contains 'child''"
"MEDICAID_PROCEDURES_SQ_X_MEDICAID_MED_NEEDY","'Squared number of distinct procedures' X 'Medicaid eligibility as medically needy'"
"MEDICAID_PROCEDURES_SQ_X_MEDICAID_MANAGED_CARE","'Squared number of distinct procedures' X 'Enrolled in Medicaid managed care'"
"MEDICAID_PROCEDURES_SQ_X_MEDICAID_PREM_PAYMENT","'Squared number of distinct procedures' X 'Enrolled in Medicaid premium payment plan'"
"MEDICAID_PROCEDURES_SQ_X_MEDICAID_PAYER_CMAP","'Squared number of distinct procedures' X 'Enrolled in RI Community Medication Assistance Program'"
"MEDICAID_PROCEDURES_SQ_X_MEDICAID_PAYER_DOC","'Squared number of distinct procedures' X 'Medicaid payer code is Department of Corrections'"
"MEDICAID_PROCEDURES_SQ_X_MEDICAID_PAYER_AIDS","'Squared number of distinct procedures' X 'Medicaid payer code is Ryan White AIDS Drug Assistance Program'"
"MEDICAID_PROCEDURES_SQ_X_MEDICAID_PAYER_ORS","'Squared number of distinct procedures' X 'Medicaid payer code is ORS'"
"MEDICAID_PROCEDURES_SQ_X_MEDICAID_PAYER_RIPAE","'Squared number of distinct procedures' X 'Enrolled in RI Pharmaceutical Assistance to the Elderly'"
"MEDICAID_PROCEDURES_SQ_X_DHS_HH_BIRTH","'Squared number of distinct procedures' X 'New birth in the DHS household'"
"MEDICAID_PROCEDURES_SQ_X_GEOCODED","'Squared number of distinct procedures' X 'Has a geocoded home address'"
"MEDICAID_PROCEDURES_SQ_X_BLKGRP_MEDIANINCOME","'Squared number of distinct procedures' X 'Block group's median annual household income (2015 dollars)'"
"MEDICAID_PROCEDURES_SQ_X_BLKGRP_BELOWFPL","'Squared number of distinct procedures' X 'Share of block group below poverty line'"
"MEDICAID_PROCEDURES_SQ_X_AGE_1","'Squared number of distinct procedures' X 'Age is 18-23'"
"MEDICAID_PROCEDURES_SQ_X_AGE_2","'Squared number of distinct procedures' X 'Age is 24-29'"
"MEDICAID_PROCEDURES_SQ_X_AGE_3","'Squared number of distinct procedures' X 'Age is 30-39'"
"MEDICAID_PROCEDURES_SQ_X_AGE_4","'Squared number of distinct procedures' X 'Age is 40-54'"
"MEDICAID_PROCEDURES_SQ_X_AGE_5","'Squared number of distinct procedures' X 'Age is 55-64'"
"MEDICAID_PROCEDURES_SQ_X_AGE_6","'Squared number of distinct procedures' X 'Age is 65+'"
"MEDICAID_PROCEDURES_SQ_X_BMI_UNDER","'Squared number of distinct procedures' X 'Body mass index is underweight'"
"MEDICAID_PROCEDURES_SQ_X_BMI_OVER","'Squared number of distinct procedures' X 'Body mass index is overweight'"
"MEDICAID_PROCEDURES_SQ_X_BMI_OBESE","'Squared number of distinct procedures' X 'Body mass index is obese'"
"MEDICAID_PROCEDURES_SQ_X_BMI_MISSING","'Squared number of distinct procedures' X 'Body mass index is missing'"
"MEDICAID_PROCEDURES_SQ_X_MARRIED","'Squared number of distinct procedures' X 'Married'"
"MEDICAID_PROCEDURES_SQ_X_MARRIED_MISSING","'Squared number of distinct procedures' X 'Marital status is missing'"
"MEDICAID_PROCEDURES_SQ_X_RACE_BLACK","'Squared number of distinct procedures' X 'Race is African American'"
"MEDICAID_PROCEDURES_SQ_X_RACE_HISPANIC","'Squared number of distinct procedures' X 'Ethnicity is Hispanic'"
"MEDICAID_PROCEDURES_SQ_X_RACE_OTHER","'Squared number of distinct procedures' X 'Race is Asian, Native American, or other'"
"MEDICAID_PROCEDURES_SQ_X_RACE_MISSING","'Squared number of distinct procedures' X 'Race is missing'"
"MEDICAID_PROCEDURES_SQ_X_SNAP_PAYMENTS","'Squared number of distinct procedures' X 'Average monthly SNAP payments'"
"MEDICAID_PROCEDURES_SQ_X_TANF_PAYMENTS","'Squared number of distinct procedures' X 'Average monthly TANF payments'"
"MEDICAID_PROCEDURES_SQ_X_TDI_PAYMENTS","'Squared number of distinct procedures' X 'Average monthly TDI payments'"
"MEDICAID_PROCEDURES_SQ_X_UI_PAYMENTS","'Squared number of distinct procedures' X 'Average monthly UI payments'"
"MEDICAID_PROCEDURES_SQ_X_SNAP","'Squared number of distinct procedures' X 'Received SNAP'"
"MEDICAID_PROCEDURES_SQ_X_TANF","'Squared number of distinct procedures' X 'Received TANF'"
"MEDICAID_PROCEDURES_SQ_X_TDI","'Squared number of distinct procedures' X 'Received TDI'"
"MEDICAID_PROCEDURES_SQ_X_UI","'Squared number of distinct procedures' X 'Received UI'"
